episode,timestep,reward
2,2000,-35.6587
4,4000,-38.9427
6,6000,-40.6986
8,8000,-41.2998
10,10000,-42.8096
12,12000,-48.4938
14,14000,-71.4516
16,16000,-52.6489
18,18000,-47.0698
20,20000,-46.6346
22,22000,-41.0667
24,24000,-40.1533
26,26000,-40.5
28,28000,-36.5445
30,30000,-34.5917
32,32000,-37.2829
34,34000,-36.4394
36,36000,-39.5447
38,38000,-35.645
40,40000,-36.5018
42,42000,-33.8197
44,44000,-34.5693
46,46000,-41.7594
48,48000,-41.4883
50,50000,-35.5917
52,52000,-36.5755
54,54000,-42.045
56,56000,-41.4426
58,58000,-38.6837
60,60000,-38.9674
62,62000,-37.3184
64,64000,-38.6229
66,66000,-37.3674
68,68000,-39.0154
70,70000,-35.6855
72,72000,-35.9855
74,74000,-35.3427
76,76000,-35.4519
78,78000,-36.1329
80,80000,-34.8468
82,82000,-38.37
84,84000,-37.514
86,86000,-35.8386
88,88000,-35.6688
90,90000,-36.7287
92,92000,-35.8721
94,94000,-41.3287
96,96000,-38.1187
98,98000,-37.1569
100,100000,-40.2455
102,102000,-45.562
104,104000,-43.4224
106,106000,-37.5827
108,108000,-40.6775
110,110000,-33.9717
112,112000,-34.7539
114,114000,-34.2557
116,116000,-34.7964
118,118000,-46.306
120,120000,-45.2779
122,122000,-50.408
124,124000,-52.7185
126,126000,-42.5249
128,128000,-41.3042
130,130000,-38.1776
132,132000,-38.2772
134,134000,-33.2305
136,136000,-35.3808
138,138000,-36.9155
140,140000,-37.8819
142,142000,-40.0839
144,144000,-38.0479
146,146000,-40.7063
148,148000,-39.9564
150,150000,-39.6652
152,152000,-39.4356
154,154000,-42.2675
156,156000,-43.5748
158,158000,-42.268
160,160000,-41.4491
162,162000,-37.3942
164,164000,-37.1806
166,166000,-36.3877
168,168000,-37.2751
170,170000,-39.2136
172,172000,-41.1264
174,174000,-37.828
176,176000,-36.8466
178,178000,-38.4147
180,180000,-39.2783
182,182000,-39.6528
184,184000,-41.36
186,186000,-35.9002
188,188000,-38.7645
190,190000,-38.2763
192,192000,-37.2057
194,194000,-34.8083
196,196000,-37.212
198,198000,-37.3613
200,200000,-36.4876
202,202000,-39.7077
204,204000,-41.2307
206,206000,-34.8026
208,208000,-36.4858
210,210000,-37.8692
212,212000,-36.7934
214,214000,-36.3868
216,216000,-36.78
218,218000,-35.9606
220,220000,-39.1002
222,222000,-38.4191
224,224000,-37.5784
226,226000,-36.7558
228,228000,-35.0812
230,230000,-36.4897
232,232000,-36.6831
234,234000,-37.5294
236,236000,-38.0432
238,238000,-37.9344
240,240000,-36.6929
242,242000,-37.0258
244,244000,-39.022
246,246000,-35.1195
248,248000,-36.5962
250,250000,-38.6592
252,252000,-32.0988
254,254000,-31.5921
256,256000,-30.4461
258,258000,-33.9736
260,260000,-33.2512
262,262000,-31.68
264,264000,-32.7653
266,266000,-29.126
268,268000,-30.3218
270,270000,-30.0113
272,272000,-30.8463
274,274000,-33.1281
276,276000,-35.4646
278,278000,-30.8805
280,280000,-29.6132
282,282000,-28.7666
284,284000,-31.2527
286,286000,-30.6125
288,288000,-31.0408
290,290000,-30.3016
292,292000,-31.8328
294,294000,-30.4549
296,296000,-30.4261
298,298000,-29.9213
300,300000,-30.1364
302,302000,-31.7852
304,304000,-33.5687
306,306000,-30.8796
308,308000,-28.8503
310,310000,-31.5243
312,312000,-33.3016
314,314000,-32.0914
316,316000,-30.4088
318,318000,-33.0138
320,320000,-31.5767
322,322000,-55.325
324,324000,-54.4093
326,326000,-76.6565
328,328000,-90.5598
330,330000,-82.0881
332,332000,-79.7628
334,334000,-102.0346
336,336000,-86.9934
338,338000,-99.5658
340,340000,-102.564
342,342000,-69.4064
344,344000,-72.3071
346,346000,-69.6529
348,348000,-74.8307
350,350000,-66.4047
352,352000,-67.2769
354,354000,-59.2147
356,356000,-61.6951
358,358000,-64.3408
360,360000,-61.9697
362,362000,-49.5323
364,364000,-51.081
366,366000,-52.1405
368,368000,-49.7811
370,370000,-47.1738
372,372000,-49.4515
374,374000,-48.8403
376,376000,-44.8492
378,378000,-46.8289
380,380000,-49.7485
382,382000,-48.3906
384,384000,-45.6251
386,386000,-44.363
388,388000,-43.6326
390,390000,-73.5603
392,392000,-77.5698
394,394000,-67.7506
396,396000,-68.6356
398,398000,-116.68
400,400000,-120.7493
402,402000,-79.9459
404,404000,-69.9184
406,406000,-73.703
408,408000,-76.8257
410,410000,-78.4289
412,412000,-86.641
414,414000,-79.7956
416,416000,-84.0705
418,418000,-70.8523
420,420000,-69.7698
422,422000,-51.2968
424,424000,-42.2911
426,426000,-41.7837
428,428000,-41.1456
430,430000,-42.9783
432,432000,-43.7014
434,434000,-39.7943
436,436000,-40.8754
438,438000,-36.6575
440,440000,-35.6181
442,442000,-38.2426
444,444000,-39.5765
446,446000,-35.038
448,448000,-39.497
450,450000,-39.6883
452,452000,-41.6449
454,454000,-37.3127
456,456000,-38.6096
458,458000,-34.3457
460,460000,-34.072
462,462000,-33.6668
464,464000,-34.0325
466,466000,-35.4265
468,468000,-32.5724
470,470000,-36.5788
472,472000,-39.7024
474,474000,-34.5256
476,476000,-34.2814
478,478000,-33.9179
480,480000,-39.4402
482,482000,-34.7322
484,484000,-35.7069
486,486000,-36.1916
488,488000,-37.3864
490,490000,-35.6147
492,492000,-36.5432
494,494000,-35.5227
496,496000,-35.9782
498,498000,-35.0393
500,500000,-35.351
502,502000,-29.8142
504,504000,-29.3154
506,506000,-28.3067
508,508000,-26.841
510,510000,-28.7107
512,512000,-27.7985
514,514000,-27.5601
516,516000,-26.8872
518,518000,-28.6669
520,520000,-28.2807
522,522000,-26.5373
524,524000,-28.2138
526,526000,-26.9174
528,528000,-26.8534
530,530000,-28.1631
532,532000,-29.7646
534,534000,-26.9493
536,536000,-26.1038
538,538000,-28.0939
540,540000,-27.7813
542,542000,-28.6613
544,544000,-28.2835
546,546000,-30.1938
548,548000,-30.2435
550,550000,-28.169
552,552000,-29.206
554,554000,-28.016
556,556000,-27.1728
558,558000,-26.4688
560,560000,-26.3292
562,562000,-25.251
564,564000,-25.9322
566,566000,-26.6061
568,568000,-25.2309
570,570000,-25.4505
572,572000,-26.4635
574,574000,-25.3349
576,576000,-25.108
578,578000,-26.1466
580,580000,-26.1935
582,582000,-28.7029
584,584000,-31.7835
586,586000,-28.6781
588,588000,-29.1916
590,590000,-28.7706
592,592000,-26.8693
594,594000,-26.189
596,596000,-25.457
598,598000,-25.2803
600,600000,-26.2842
602,602000,-27.2792
604,604000,-27.2383
606,606000,-24.9312
608,608000,-24.6413
610,610000,-25.3563
612,612000,-25.1442
614,614000,-24.168
616,616000,-25.4819
618,618000,-25.5695
620,620000,-25.9889
622,622000,-27.1287
624,624000,-25.0628
626,626000,-24.799
628,628000,-26.3829
630,630000,-24.4139
632,632000,-25.9538
634,634000,-27.1959
636,636000,-26.0778
638,638000,-26.9091
640,640000,-26.059
642,642000,-25.8204
644,644000,-27.5679
646,646000,-25.1692
648,648000,-25.8754
650,650000,-26.2397
652,652000,-25.3757
654,654000,-24.7377
656,656000,-24.7207
658,658000,-25.5956
660,660000,-25.6977
662,662000,-25.1885
664,664000,-26.3651
666,666000,-25.532
668,668000,-24.2386
670,670000,-26.2177
672,672000,-25.6325
674,674000,-26.3917
676,676000,-25.4878
678,678000,-26.5733
680,680000,-24.2
682,682000,-24.7112
684,684000,-23.9757
686,686000,-25.7476
688,688000,-26.1793
690,690000,-27.78
692,692000,-26.5844
694,694000,-25.9973
696,696000,-25.3451
698,698000,-25.6437
700,700000,-26.2285
702,702000,-24.4012
704,704000,-25.0513
706,706000,-25.9053
708,708000,-25.6349
710,710000,-27.0324
712,712000,-28.9888
714,714000,-26.6992
716,716000,-24.8383
718,718000,-147.1509
720,720000,-215.7513
722,722000,-168.8652
724,724000,-138.6473
726,726000,-72.2614
728,728000,-33.8626
730,730000,-28.7056
732,732000,-26.1364
734,734000,-25.6246
736,736000,-25.3081
738,738000,-26.0092
740,740000,-25.2552
742,742000,-25.2827
744,744000,-25.9266
746,746000,-27.0626
748,748000,-26.7975
750,750000,-26.678
752,752000,-23.8821
754,754000,-20.545
756,756000,-20.6628
758,758000,-21.8948
760,760000,-21.1798
762,762000,-21.9071
764,764000,-22.474
766,766000,-22.9233
768,768000,-24.0853
770,770000,-22.2462
772,772000,-22.7364
774,774000,-21.76
776,776000,-23.0596
778,778000,-118.3722
780,780000,-185.2234
782,782000,-108.0035
784,784000,-58.4522
786,786000,-35.3585
788,788000,-20.9091
790,790000,-20.6066
792,792000,-19.6152
794,794000,-22.7992
796,796000,-25.1111
798,798000,-22.652
800,800000,-21.3554
802,802000,-21.9943
804,804000,-21.9687
806,806000,-24.252
808,808000,-25.3174
810,810000,-26.646
812,812000,-26.3421
814,814000,-24.4551
816,816000,-22.4627
818,818000,-22.0066
820,820000,-21.7019
822,822000,-21.0396
824,824000,-22.5393
826,826000,-20.9924
828,828000,-20.459
830,830000,-21.7313
832,832000,-20.8865
834,834000,-22.0368
836,836000,-22.669
838,838000,-21.3567
840,840000,-21.114
842,842000,-22.4353
844,844000,-22.4
846,846000,-24.348
848,848000,-26.6873
850,850000,-24.213
