episode,timestep,reward
2,2000,-47.4098
4,4000,-43.9393
6,6000,-41.9213
8,8000,-41.3145
10,10000,-40.6748
12,12000,-40.8999
14,14000,-41.1869
16,16000,-42.1172
18,18000,-38.344
20,20000,-42.4723
22,22000,-40.9138
24,24000,-40.2092
26,26000,-40.4251
28,28000,-40.4087
30,30000,-40.7251
32,32000,-39.3129
34,34000,-39.9759
36,36000,-41.2343
38,38000,-41.3292
40,40000,-41.796
42,42000,-41.1258
44,44000,-39.5506
46,46000,-40.8203
48,48000,-40.7212
50,50000,-41.1792
52,52000,-41.1684
54,54000,-41.9851
56,56000,-39.7236
58,58000,-41.7052
60,60000,-41.9445
62,62000,-40.8248
64,64000,-41.6572
66,66000,-42.4046
68,68000,-42.126
70,70000,-37.7368
72,72000,-40.7653
74,74000,-39.8484
76,76000,-39.3634
78,78000,-40.7533
80,80000,-42.6175
82,82000,-39.7177
84,84000,15.6749
86,86000,-41.0963
88,88000,-39.1627
90,90000,-42.8809
92,92000,-39.1539
94,94000,-40.4391
96,96000,-40.601
98,98000,-41.8788
100,100000,-39.224
102,102000,-39.2344
104,104000,-42.29
106,106000,-41.9676
108,108000,-41.2748
110,110000,-42.2987
112,112000,-39.4355
114,114000,-41.4319
116,116000,-40.4131
118,118000,-39.0247
120,120000,-41.138
122,122000,-38.849
124,124000,-43.6083
126,126000,-41.5279
128,128000,-42.0847
130,130000,-38.7719
132,132000,-40.3864
134,134000,-40.8468
136,136000,-40.8808
138,138000,-41.7849
140,140000,-43.1788
142,142000,-41.0053
144,144000,11.5358
146,146000,-41.3909
148,148000,-41.8017
150,150000,-39.4111
152,152000,-41.0503
154,154000,12.8154
156,156000,-40.3592
158,158000,9.4197
160,160000,-39.2022
162,162000,-39.9985
164,164000,-39.8569
166,166000,-40.4064
168,168000,-44.1877
170,170000,-38.2221
172,172000,-40.8694
174,174000,-40.7848
176,176000,-38.636
178,178000,-39.8216
180,180000,-39.4283
182,182000,-37.7289
184,184000,-40.7594
186,186000,-39.7666
188,188000,-38.9668
190,190000,-39.3844
192,192000,-39.5915
194,194000,-41.1547
196,196000,-40.256
198,198000,-41.8623
200,200000,-40.62
202,202000,-39.5862
204,204000,-39.1045
206,206000,-40.5909
208,208000,-41.6946
210,210000,-41.8859
212,212000,-39.933
214,214000,11.4223
216,216000,-37.9801
218,218000,-39.8269
220,220000,-40.1028
222,222000,-38.8596
224,224000,-40.248
226,226000,-39.0897
228,228000,-38.6904
230,230000,-40.7724
232,232000,-39.7716
234,234000,-40.7679
236,236000,-40.1282
238,238000,-37.8991
240,240000,-41.2607
242,242000,-39.524
244,244000,-39.2672
246,246000,-39.1438
248,248000,-39.0336
250,250000,-39.5431
252,252000,-37.5588
254,254000,-34.7081
256,256000,-34.8557
258,258000,-33.5113
260,260000,-34.574
262,262000,-34.1964
264,264000,-36.1754
266,266000,-33.5861
268,268000,16.9823
270,270000,-32.2849
272,272000,-34.3621
274,274000,-33.2649
276,276000,-33.9454
278,278000,-33.6343
280,280000,-34.0255
282,282000,-32.8247
284,284000,-34.4928
286,286000,-33.4745
288,288000,-34.3874
290,290000,-33.2012
292,292000,-31.3717
294,294000,-32.743
296,296000,-31.607
299,298000,-32.4454
301,300000,-33.2009
303,302000,-33.1747
305,304000,-34.0602
307,306000,-31.6763
309,308000,-34.323
311,310000,-32.4231
313,312000,-34.2013
315,314000,22.5307
317,316000,-34.094
319,318000,-32.5127
321,320000,-32.6551
323,322000,-33.6136
325,324000,-30.2443
327,326000,-33.5515
329,328000,-32.0593
331,330000,-32.186
333,332000,-33.5129
335,334000,-30.7477
337,336000,-33.6532
339,338000,-32.5445
341,340000,-32.0301
343,342000,-31.5216
345,344000,-32.3379
347,346000,-34.41
349,348000,-34.0973
351,350000,-32.1916
353,352000,-31.8471
355,354000,-31.7561
357,356000,-32.0014
359,358000,-29.6386
361,360000,-34.325
363,362000,-32.0928
365,364000,-32.7388
367,366000,-31.6349
369,368000,-30.82
371,370000,-31.678
373,372000,-31.4904
375,374000,-32.1157
377,376000,-30.9389
379,378000,-32.4524
381,380000,-33.4302
383,382000,-29.7931
385,384000,-32.5017
387,386000,-31.7595
389,388000,-31.1967
391,390000,-30.065
393,392000,-31.3138
395,394000,-31.5154
397,396000,-31.6183
399,398000,-32.3729
401,400000,-31.7024
403,402000,-33.6325
405,404000,-29.3054
407,406000,-30.8313
409,408000,-31.5216
411,410000,-28.8701
413,412000,-29.888
415,414000,-30.368
417,416000,-30.3024
419,418000,-30.7611
421,420000,-32.6265
423,422000,-30.2627
425,424000,-30.0645
427,426000,-31.1023
429,428000,-31.0556
431,430000,-30.5068
433,432000,-29.6712
435,434000,-31.0458
437,436000,-30.3013
439,438000,-30.815
441,440000,-29.4824
443,442000,-30.0295
445,444000,-33.6601
447,446000,-30.4038
449,448000,-30.3176
451,450000,-29.6145
453,452000,-30.4153
455,454000,-28.8453
457,456000,-30.0285
459,458000,-31.2048
461,460000,-31.4847
463,462000,-31.2848
465,464000,-30.2737
