episode,timestep,reward
2,2000,-37.5687
4,4000,-36.6472
6,6000,-35.975
8,8000,-35.6134
10,10000,-37.5759
12,12000,-35.3393
14,14000,-35.5953
16,16000,-36.8897
18,18000,-37.9161
20,20000,-37.5275
22,22000,-37.2065
24,24000,-37.6009
26,26000,-35.643
28,28000,-37.93
30,30000,-34.4934
32,32000,-35.1952
34,34000,-38.4172
36,36000,-35.7777
38,38000,-36.1382
40,40000,-35.8311
42,42000,-37.04
44,44000,-36.6078
46,46000,-35.7118
48,48000,-36.7279
50,50000,-39.0377
52,52000,-36.2367
54,54000,-36.7912
56,56000,-36.4874
58,58000,-37.2085
60,60000,-36.9175
62,62000,-35.304
64,64000,-37.6179
66,66000,-35.2192
68,68000,-36.4273
70,70000,-38.6414
72,72000,-33.7177
74,74000,-36.5591
76,76000,-36.4823
78,78000,-38.4031
80,80000,-36.7094
82,82000,-35.6643
84,84000,-36.6241
86,86000,-37.0065
88,88000,-37.7349
90,90000,-37.3226
92,92000,-36.4135
94,94000,-34.5466
96,96000,-39.6497
98,98000,-34.2708
100,100000,-35.7992
102,102000,-35.4999
104,104000,-35.7242
106,106000,-35.2308
108,108000,-33.865
110,110000,-36.3122
112,112000,-35.6754
114,114000,-35.9547
116,116000,-35.0747
118,118000,-36.9439
120,120000,-37.8921
122,122000,-34.9088
124,124000,-36.6106
126,126000,-33.5985
128,128000,-36.6853
130,130000,-36.5584
132,132000,-38.6097
134,134000,-36.7407
136,136000,-34.5974
138,138000,-36.3668
140,140000,-37.0186
142,142000,-35.4849
144,144000,-35.9703
146,146000,-34.8158
148,148000,-35.7897
150,150000,-34.8331
152,152000,-37.0582
154,154000,-36.0742
156,156000,-35.746
158,158000,-33.9374
160,160000,-38.4716
162,162000,-35.0662
164,164000,-36.2247
166,166000,-33.9763
168,168000,-35.5795
170,170000,-37.4124
172,172000,-34.7647
174,174000,-36.8836
176,176000,-36.6038
178,178000,-36.1749
180,180000,-36.4214
182,182000,-35.404
184,184000,-36.3108
186,186000,-36.0187
188,188000,-35.785
190,190000,-35.5017
192,192000,-35.4281
194,194000,-34.9477
196,196000,-37.3214
198,198000,-37.5838
200,200000,-35.9304
202,202000,-38.3578
204,204000,-38.8564
206,206000,-36.1731
208,208000,-35.5033
210,210000,-34.1264
212,212000,-35.3286
214,214000,-35.3017
216,216000,-35.9418
218,218000,-35.4461
220,220000,-33.8178
222,222000,-36.6075
224,224000,-35.766
226,226000,-37.878
228,228000,-36.3785
230,230000,-37.8503
232,232000,-36.0008
234,234000,-35.5937
236,236000,-37.1516
238,238000,-38.1778
240,240000,-35.8916
242,242000,-36.0109
244,244000,-38.6551
246,246000,-34.9883
248,248000,-36.2973
250,250000,-36.6489
252,252000,-32.1642
254,254000,-30.7671
256,256000,-31.3404
258,258000,-30.3241
260,260000,-30.5231
262,262000,-31.317
264,264000,-31.1283
266,266000,-31.7216
268,268000,-31.2008
270,270000,-31.631
272,272000,-30.813
274,274000,-30.09
276,276000,-30.4794
278,278000,-30.2165
280,280000,-32.4623
282,282000,-31.1174
284,284000,-30.6819
286,286000,-30.0856
288,288000,-32.7181
290,290000,-29.1068
292,292000,-29.4968
294,294000,-30.8771
296,296000,-30.5569
298,298000,-29.7762
300,300000,-30.6152
302,302000,-30.5236
304,304000,-29.5825
306,306000,-30.8605
308,308000,-29.6933
310,310000,-29.3104
312,312000,-30.1871
314,314000,-30.2458
316,316000,-30.0807
318,318000,-30.0089
320,320000,-28.1693
322,322000,-30.3345
324,324000,-31.7062
326,326000,-31.7075
328,328000,-31.7405
330,330000,-29.7899
332,332000,-30.537
334,334000,-32.0009
336,336000,-29.7682
338,338000,-30.6489
340,340000,-31.2029
342,342000,-31.3375
344,344000,-29.5589
346,346000,-31.5922
348,348000,-31.3755
350,350000,-30.863
352,352000,-29.4662
354,354000,-30.4585
356,356000,19.6667
358,358000,-31.7764
360,360000,-31.1288
362,362000,-29.093
364,364000,-31.2933
366,366000,-31.6254
368,368000,-31.2727
370,370000,-28.5104
372,372000,-31.1455
374,374000,-29.9033
376,376000,-31.3091
378,378000,-29.4511
380,380000,-29.6678
382,382000,-30.0319
384,384000,-30.5831
386,386000,-31.6875
388,388000,-29.8446
390,390000,-31.1189
392,392000,-30.2086
394,394000,-31.1233
396,396000,-30.4084
398,398000,-32.5125
400,400000,-29.7515
402,402000,-29.9738
404,404000,-30.7705
406,406000,-32.1424
408,408000,-31.6252
410,410000,-31.1374
412,412000,-32.2583
414,414000,-30.365
416,416000,-29.936
418,418000,-30.5131
420,420000,-29.9413
422,422000,-29.8967
424,424000,-28.0182
426,426000,-31.1093
428,428000,-29.9239
430,430000,-29.0334
432,432000,-31.3492
434,434000,-29.741
436,436000,-30.2023
438,438000,-32.28
440,440000,-31.9844
442,442000,-30.2198
444,444000,-32.1381
446,446000,-29.7682
448,448000,-28.9365
450,450000,-28.2539
452,452000,-30.8193
454,454000,-31.438
456,456000,-29.6448
458,458000,-30.0982
460,460000,-31.3823
462,462000,-31.5551
464,464000,-30.4101
466,466000,-33.0653
468,468000,-30.0814
470,470000,-30.0293
472,472000,-29.7976
474,474000,-30.6952
476,476000,-28.645
478,478000,-31.7935
480,480000,-30.8215
482,482000,-31.1525
484,484000,-31.791
486,486000,-32.4645
488,488000,-30.2654
490,490000,-31.6403
492,492000,-30.1373
494,494000,-30.7914
496,496000,-33.8311
498,498000,-32.5592
500,500000,-31.0124
502,502000,-27.1116
504,504000,-25.5721
506,506000,-25.7266
508,508000,-24.8292
510,510000,-26.3059
512,512000,-26.1666
514,514000,-25.6043
516,516000,-25.697
518,518000,-25.2163
520,520000,-25.27
522,522000,-23.9194
524,524000,-25.515
526,526000,-25.7159
528,528000,-25.0859
530,530000,-24.829
532,532000,-23.6275
534,534000,-24.4111
536,536000,-24.9287
538,538000,-25.9396
540,540000,-24.5134
542,542000,-23.9887
544,544000,-25.8244
546,546000,-26.2075
548,548000,-25.739
550,550000,-24.8048
552,552000,-25.7208
554,554000,-26.2714
556,556000,-25.2535
558,558000,-24.8314
560,560000,-24.556
562,562000,-25.9254
564,564000,-24.6178
566,566000,-26.0016
568,568000,-24.8395
570,570000,-26.1969
572,572000,-26.0961
574,574000,-26.0775
576,576000,-25.2567
578,578000,-25.5112
580,580000,-23.3102
582,582000,-24.8635
584,584000,-25.7875
586,586000,-24.6258
588,588000,-25.0651
590,590000,-25.2061
592,592000,-25.8975
594,594000,-24.9442
596,596000,-24.6629
598,598000,-23.9743
600,600000,-25.6245
602,602000,-25.9531
604,604000,-24.9881
606,606000,-25.7479
608,608000,-25.7024
610,610000,-24.9534
612,612000,-26.408
614,614000,-24.8969
616,616000,-24.6429
618,618000,-25.3763
620,620000,-25.4912
622,622000,-25.5728
624,624000,-24.3545
626,626000,-27.1567
628,628000,-25.465
630,630000,-24.0819
632,632000,-26.7973
634,634000,-25.0344
636,636000,-25.0742
638,638000,-24.9111
640,640000,-24.9728
642,642000,-25.0499
644,644000,-24.4993
646,646000,-25.8659
648,648000,-23.5401
650,650000,-25.5976
652,652000,-25.7879
654,654000,-24.3881
656,656000,-25.0614
658,658000,-26.9161
660,660000,-25.2379
662,662000,-25.5593
664,664000,-24.9389
666,666000,-23.862
668,668000,-25.9187
670,670000,-24.7142
672,672000,-25.7638
674,674000,-25.0747
676,676000,-26.2628
678,678000,-26.3888
680,680000,-25.1
682,682000,-25.4639
684,684000,-25.3003
686,686000,-25.055
688,688000,-23.6314
690,690000,-25.093
692,692000,-26.0285
694,694000,-24.0054
696,696000,-25.4149
698,698000,-24.231
700,700000,-26.8061
702,702000,-24.7321
704,704000,-24.0568
706,706000,-24.7916
708,708000,-26.2315
710,710000,-25.9983
712,712000,-23.7491
714,714000,-25.1556
716,716000,-25.4364
718,718000,-25.6472
720,720000,-25.5507
722,722000,-26.7756
724,724000,-25.4797
726,726000,-26.1809
728,728000,-25.3751
730,730000,-24.9388
732,732000,-26.2765
734,734000,-26.8324
736,736000,-24.8187
738,738000,-26.4873
740,740000,-26.5322
742,742000,-23.9996
744,744000,-25.0887
746,746000,-26.2119
748,748000,-25.4999
750,750000,-25.9391
752,752000,-22.7781
754,754000,-19.2875
756,756000,-20.0521
758,758000,-20.8948
760,760000,-20.9685
762,762000,-20.0469
764,764000,-19.5725
766,766000,-21.0168
768,768000,-20.4655
770,770000,-20.3774
772,772000,-21.0048
774,774000,-20.6133
776,776000,-20.2146
778,778000,-20.8426
780,780000,-20.4763
782,782000,-20.537
784,784000,-21.1757
786,786000,-20.5064
788,788000,-21.2757
790,790000,-19.126
792,792000,-20.1012
794,794000,-21.1824
796,796000,-20.3204
798,798000,-21.0285
800,800000,-19.0327
802,802000,-18.8464
804,804000,-22.0135
806,806000,-20.9822
808,808000,-21.4378
810,810000,-20.9861
812,812000,-21.1889
814,814000,-19.8352
816,816000,-20.3426
818,818000,-20.9184
820,820000,-20.0711
822,822000,-20.3956
824,824000,-20.4416
826,826000,-20.5849
828,828000,-21.1491
830,830000,-20.3133
832,832000,-20.6434
834,834000,-20.2304
836,836000,-19.9676
838,838000,-20.389
840,840000,-20.5867
842,842000,-20.5055
844,844000,-20.795
846,846000,-18.8561
848,848000,-19.5406
850,850000,-20.388
852,852000,-20.4446
854,854000,-19.9161
856,856000,-20.9697
858,858000,-20.9674
860,860000,-21.1546
862,862000,-20.2618
864,864000,-20.9509
866,866000,-19.9251
868,868000,-20.3236
870,870000,-20.902
872,872000,-20.3632
875,874000,-20.3814
877,876000,-20.5543
879,878000,-20.1967
881,880000,-19.4684
883,882000,-21.2863
885,884000,-21.1154
887,886000,-19.9484
889,888000,-21.5607
891,890000,-20.1778
893,892000,-20.4727
895,894000,-19.4672
897,896000,-20.6323
899,898000,-20.6522
901,900000,-20.6095
903,902000,-20.3228
905,904000,-19.9869
907,906000,-19.8246
909,908000,-19.7296
911,910000,-20.8592
913,912000,-19.6583
915,914000,-20.8298
917,916000,-19.3989
919,918000,-19.8393
921,920000,-22.0097
923,922000,-19.7962
925,924000,-19.8853
927,926000,-20.4879
929,928000,-20.4413
931,930000,-19.7902
933,932000,-19.7197
935,934000,-19.655
937,936000,-19.5249
939,938000,-20.4447
941,940000,-20.1549
943,942000,-20.4374
945,944000,-20.2238
947,946000,-19.6231
949,948000,-21.157
951,950000,-21.1445
953,952000,-20.6622
955,954000,-21.1894
957,956000,-20.6353
959,958000,-19.3785
961,960000,-20.4051
963,962000,-19.8093
965,964000,-19.6345
967,966000,-20.2761
969,968000,-19.6858
971,970000,-21.6678
973,972000,-20.8558
975,974000,-20.2683
977,976000,-20.4655
979,978000,-21.571
981,980000,-21.6513
983,982000,-22.0183
985,984000,-21.5228
987,986000,-21.3921
989,988000,-21.1045
991,990000,-20.1722
993,992000,-19.9509
995,994000,-20.0249
997,996000,-21.1219
999,998000,-20.4413
1001,1000000,-20.9329
